1, junk, ., +, t, /, 1, (, i, Y, d
1709, junk, ., (, -, COMMA, \prime, 0, C, 1, a
1710, junk, \lambda, ., 1, a, COMMA, -, o, ), i
1711, junk, 1, |, COMMA, \prime, l, ., /, +, )
1712, junk, 0, ., o, -, COMMA, \sin, c, n, s
1713, junk, ., 1, 2, l, C, a, (, \prime, z
1714, junk, 2, ., COMMA, \prime, \sum, x, a, 3, \log
1715, junk, ., u, 2, -, a, COMMA, 1, L, 4
1716, -, junk, =, ., T, \ldots, i, COMMA, t, 2
1717, -, junk, ., =, T, \ldots, t, m, \div, u
1718, junk, COMMA, ., 1, +, \prime, /, \mu, V, \sqrt
1719, junk, ., COMMA, +, \prime, m, 1, -, \tan, 2
1720, junk, \lim, ., -, COMMA, \prime, 0, n, +, 1
1721, junk, -, ., =, \rightarrow, COMMA, e, C, \lt, \ldots
1722, -, junk, =, ., T, \ldots, i, COMMA, 2, \div
1723, junk, ., 0, -, 1, H, COMMA, a, o, t
1724, junk, d, ., -, o, 1, a, n, +, x
1725, junk, \int, s, S, 0, 1, 5, ., \{, COMMA
1726, junk, c, ., \tan, 0, G, a, C, \lim, 2
1727, \ldots, junk, 0, ., -, \sqrt, o, 6, c, COMMA
1728, junk, t, ., -, +, n, i, 1, \prime, 2
1729, junk, n, k, ., \mu, r, x, -, +, o
1730, junk, \sin, ., -, 0, +, \rightarrow, a, 1, \sigma
1731, \ldots, junk, \cos, ., 0, -, c, a, \sin, \pi
1732, \ldots, 0, junk, o, ., c, \sqrt, v, \cos, a
1733, junk, ., a, r, x, +, c, 0, 1, 2
1734, junk, 1, |, COMMA, \prime, l, ., (, /, !
1735, junk, v, V, ., 0, x, r, y, i, 1
1736, 7, z, junk, \neq, x, ., +, 2, -, 1
1737, |, \{, junk, 1, \}, 3, \prime, +, COMMA, .
1738, N, junk, 0, ., \Delta, n, E, B, m, M
1739, junk, ., 2, 0, c, l, \times, C, x, L
1740, junk, ., a, x, \tan, 0, 1, 4, +, T
1741, junk, ., a, x, 4, 0, 1, +, \mu, 2
1742, junk, 1, |, COMMA, \prime, l, ., ), /, +
1743, -, junk, ., =, T, t, i, COMMA, \div, c
1744, junk, 1, |, COMMA, \prime, l, +, (, ., \{
1745, t, junk, r, H, +, F, \pi, ., S, p
1746, +, junk, T, 1, ., l, \prime, n, -, r
1747, junk, ., a, r, x, +, c, 0, 1, 2
1748, junk, c, ., x, 9, 2, C, \pi, a, 0
1749, n, M, junk, H, A, m, ., \pi, l, b
1750, junk, n, m, ., 0, COMMA, \Delta, 7, \tan, 1
1751, junk, ., \forall, T, +, 1, n, r, a, \prime
1752, -, junk, ., =, T, \ldots, COMMA, \div, i, m
1753, junk, m, \pi, n, A, \in, ., k, 1, R
1754, -, junk, =, ., \ldots, COMMA, 2, T, \div, i
1755, junk, ., \ldots, o, \sin, 0, -, C, L, c
1756, junk, n, ., 1, \pi, COMMA, ), m, -, +
1757, junk, ., x, \times, s, \prime, 1, +, \gamma, COMMA
1758, -, junk, =, ., T, \ldots, i, \div, COMMA, t
1759, junk, \mu, -, ., o, 0, p, T, COMMA, 1
1760, junk, ., \sin, n, \prime, r, +, COMMA, 0, x
1761, junk, E, \sum, t, c, ., 8, \pm, I, C
1762, junk, ., r, \mu, L, +, v, \sin, 1, 0
1763, junk, ., 0, a, x, \pi, c, v, COMMA, +
1764, junk, 1, -, \neq, x, ., +, t, COMMA, \times
1765, junk, I, ., T, 6, 1, c, COMMA, -, 3
1766, junk, ., 2, a, +, \infty, \rightarrow, \tan, \cos, 1
1767, junk, ., x, a, \sin, 0, \cos, 1, \infty, COMMA
1768, junk, \tan, k, n, ., 2, h, a, m, G
1769, junk, E, z, 2, l, ., \beta, t, a, p
1770, junk, x, ., /, +, n, 1, r, H, y
1771, junk, -, ., COMMA, +, 2, \rightarrow, d, \sin, (
1772, junk, -, ., \div, =, c, m, COMMA, \lim, \sin
1773, junk, ., +, -, i, 0, T, ), t, \lambda
1774, junk, ), ., \Delta, 1, COMMA, 2, H, M, 0
1775, junk, \log, ., a, -, 4, \div, 0, n, c
1776, junk, -, ., C, 0, 6, e, T, 1, COMMA
1777, junk, -, ., 2, +, z, COMMA, T, \sin, x
1778, junk, ., COMMA, 1, (, 0, \prime, 6, f, L
1779, junk, L, l, (, ., 1, i, COMMA, I, h
1780, junk, \sin, \tan, \cos, ., a, \pi, 0, o, \log
1781, junk, 1, COMMA, Y, ., ), +, l, -, n
1782, junk, ., /, 0, n, 1, h, (, 3, |
1783, 0, junk, o, ., F, \sigma, E, d, c, C
1784, junk, \tan, ., \sin, c, =, 1, L, -, a
1785, junk, ., 0, o, \sin, \prime, 1, c, COMMA, \sqrt
1786, f, junk, 1, l, -, s, p, b, \beta, d
1787, -, junk, ., =, \sqrt, r, o, COMMA, u, T
1788, junk, i, ., 0, \mu, v, N, COMMA, I, o
1789, junk, ., \sin, -, \tan, c, L, COMMA, r, 4
1790, junk, 1, ., 0, e, -, p, H, c, 6
1791, junk, a, ., 1, \pi, x, T, =, +, -
1792, junk, ., COMMA, \prime, 1, +, /, -, 0, c
1793, junk, ., -, 0, \sqrt, o, n, COMMA, \prime, /
1794, junk, ., \prime, \sqrt, |, N, /, r, COMMA, 1
1795, junk, 4, ., +, Y, l, \mu, \lim, 2, (
1796, junk, ., a, r, x, +, c, 0, 1, 2
1797, junk, ., COMMA, 1, ), -, \prime, x, /, \mu
1798, -, junk, ., =, \ldots, m, \div, T, w, COMMA
1799, junk, ., +, 2, 1, l, y, 4, a, x
1800, junk, ., q, +, \forall, 4, f, 0, x, \log
1801, junk, ., -, 1, /, COMMA, +, o, \prime, \sqrt
1802, junk, ., 0, -, h, t, 1, b, +, n
1803, junk, z, +, p, x, 7, t, 2, ., -
1804, junk, ., -, \tan, \lim, 4, \prime, +, \sin, \neq
1805, junk, \sin, n, ., M, 2, +, \sqrt, \rightarrow, a
1806, junk, ., \sqrt, COMMA, c, \rightarrow, 0, \prime, -, n
1807, junk, ., a, 1, \geq, x, 2, 3, \prime, z
1808, junk, 1, |, COMMA, \prime, l, \{, ., +, /
1809, junk, ., a, x, -, \times, \geq, 2, \prime, 3
1810, -, junk, =, T, ., \ldots, t, COMMA, i, m
1811, junk, v, \sigma, r, ., \sqrt, o, a, 0, -
1812, junk, ., \alpha, +, -, \tan, \mu, c, /, n
1813, junk, M, m, ., n, N, r, \sqrt, a, \mu
1814, -, junk, =, ., T, \ldots, COMMA, i, 2, m
1815, junk, ., \pi, a, 1, +, \lim, 2, c, l
1816, junk, ., -, \sqrt, 0, L, COMMA, o, \ldots, r
1817, junk, +, t, \div, 4, ., 7, 1, a, z
1818, -, junk, =, ., T, \ldots, i, COMMA, 2, \div
1819, junk, 1, |, +, COMMA, \prime, l, ., /, (
1820, junk, ., \mu, 1, /, m, r, H, o, n
1821, junk, ., 1, COMMA, -, /, T, \prime, r, +
1822, -, junk, ., =, T, COMMA, i, m, \div, \ldots
1823, junk, COMMA, (, ., \div, r, x, -, 1, +
1824, junk, ., a, H, 2, G, 1, 0, C, 6
1825, junk, ., n, H, k, w, -, 0, c, u
1826, junk, \sin, ., COMMA, c, N, -, n, C, (
1827, junk, ., \Delta, -, COMMA, 0, a, \alpha, x, l
1828, -, junk, ., =, T, \ldots, m, t, COMMA, \sin
1829, junk, COMMA, ., -, 1, /, 0, \ldots, t, \prime
1830, junk, 1, \mu, ., L, N, i, /, a, COMMA
1831, junk, ., x, n, m, COMMA, -, 1, \times, +
1832, junk, n, ., x, -, a, m, v, u, 2
1833, junk, ., \prime, +, 1, \rightarrow, 7, i, COMMA, -
1834, junk, ., v, n, a, 0, y, u, x, 3
1835, junk, x, ., a, -, u, n, \times, m, COMMA
1836, y, junk, Y, \pi, x, 7, \gamma, n, COMMA, 1
1837, junk, ., +, \sin, (, \prime, COMMA, 1, \tan, 0
1838, junk, \sin, ., -, \ldots, \rightarrow, 0, COMMA, L, +
1839, 1, junk, n, r, ., \prime, +, l, x, m
1840, \tan, junk, a, ., e, t, E, k, \leq, c
1841, junk, ., \forall, 0, a, \sin, (, 2, l, C
1842, junk, ., +, c, -, COMMA, /, 1, 0, (
1843, junk, ., \prime, 0, c, o, 2, -, +, a
1844, junk, ., -, 0, COMMA, n, \sqrt, \prime, c, /
1845, junk, ., \lim, a, \times, \tan, x, o, +, 0
1846, junk, ., -, o, L, 0, \sin, a, T, \alpha
1847, junk, ., c, COMMA, r, x, +, 1, 0, v
1848, junk, \tan, ., 1, -, a, T, \lim, +, \neq
1849, junk, ., 0, -, COMMA, 6, \prime, e, t, n
1850, -, junk, =, ., T, \ldots, COMMA, t, m, i
1851, junk, COMMA, ., u, -, c, \ldots, v, r, w
1852, junk, ., -, COMMA, r, n, c, 2, x, 1
1853, junk, -, ., +, T, COMMA, \sin, 2, 1, (
1854, junk, ., a, k, F, x, n, 1, A, q
1855, junk, ., 0, V, COMMA, 1, l, a, 2, (
1856, -, junk, ., m, \ldots, =, COMMA, \sin, \sqrt, u
1857, junk, +, ., COMMA, -, 1, (, L, T, \ldots
1858, junk, ., o, c, 0, 1, \sin, -, +, COMMA
1859, junk, H, ., x, \forall, k, COMMA, 1, n, 0
1860, junk, L, l, 1, ., 2, COMMA, (, i, h
1861, junk, 0, ], ., 1, 5, COMMA, \sum, i, 3
1862, junk, o, x, ., +, \pi, r, \times, 0, t
1863, junk, 2, 3, l, x, n, ., 1, \geq, \div
1864, junk, ., \tan, o, \alpha, \sin, a, c, 0, 2
1865, junk, /, ., COMMA, r, I, 0, c, -, v
1866, junk, I, ], 1, 0, ., L, COMMA, 3, T
1867, junk, t, ., a, l, g, p, \beta, y, n
1868, junk, 1, |, COMMA, \prime, l, +, ., ), !
1869, junk, ., 1, \sin, +, COMMA, x, a, 0, )
1870, junk, 1, i, -, 0, ., COMMA, 6, s, I
1871, junk, ., a, r, x, +, c, 0, 1, 2
1872, junk, 6, ., x, 1, l, c, COMMA, \times, t
1873, 1, junk, \prime, 7, +, n, ., -, COMMA, l
1874, junk, ., \rightarrow, z, 3, 2, s, 1, \gamma, x
1875, junk, ., m, n, \prime, COMMA, -, \times, x, 1
1876, junk, ., COMMA, -, 0, o, n, r, \prime, \lambda
1877, \tan, junk, COMMA, m, -, \ldots, 0, ., 1, l
1878, junk, ., \geq, 3, COMMA, 1, \prime, 2, a, x
1879, junk, ., +, \prime, t, 1, COMMA, s, -, T
1880, junk, ., a, 0, 2, r, +, 1, n, x
1881, x, z, junk, \times, ., 2, \alpha, X, d, +
1882, junk, d, ., 3, 2, +, a, 1, 0, -
1883, junk, ., V, 0, COMMA, 1, a, /, (, N
1884, junk, \tan, \log, 1, m, n, ., =, -, i
1885, -, junk, ., =, \sqrt, \ldots, COMMA, 0, u, o
1886, junk, \sqrt, P, \sum, r, ., \infty, 0, \pi, H
1887, junk, \tan, -, 1, ., m, n, \sin, a, =
1888, junk, \infty, \sin, ., +, n, \pi, -, 2, a
1889, junk, 3, ., COMMA, x, 5, 1, 7, \times, 2
1890, junk, +, \lim, a, ., \log, \div, 4, q, 1
1891, -, junk, ., =, \ldots, COMMA, 2, T, w, u
1892, junk, ., -, o, \alpha, \sin, 0, a, (, n
1893, junk, \sin, ., \prime, -, COMMA, 0, /, +, C
1894, -, junk, =, T, ., \ldots, i, COMMA, t, 2
1895, junk, E, c, 0, L, C, ., \sum, G, 1
1896, junk, ., \prime, n, a, -, +, \lim, COMMA, 1
1897, junk, ., 1, +, H, COMMA, t, s, /, 0
1898, junk, ., a, \sin, m, \tan, 0, M, 1, \mu
1899, junk, \tan, ., Y, u, n, p, \mu, \sin, +
1900, junk, \div, ., +, a, t, m, -, 1, d
1901, junk, e, ., c, -, 0, 6, COMMA, x, +
1902, junk, ., \ldots, L, -, 0, c, COMMA, o, C
1903, junk, 9, +, 4, 1, T, COMMA, ., a, 3
1904, junk, ., 2, +, -, \div, z, L, 1, COMMA
1905, junk, \infty, ., \cos, 2, 1, \tan, a, \sin, 0
1906, junk, ., COMMA, -, L, \sqrt, /, 0, o, 1
1907, junk, x, ., +, c, 1, \times, a, COMMA, \exists
1908, junk, ., \leq, x, COMMA, =, 0, -, 1, c
1909, junk, 4, ., c, 1, H, C, a, y, 2
1910, junk, ., -, \prime, 7, T, +, 2, t, (
1911, junk, ., -, 0, \ldots, o, COMMA, =, C, c
1912, junk, ., \prime, -, COMMA, +, (, 1, \neq, 0
1913, junk, ., o, \sum, 0, a, L, 1, N, n
1914, junk, 1, (, |, COMMA, l, \prime, /, ., i
1915, -, junk, ., =, \sqrt, 0, n, COMMA, \ldots, r
1916, junk, ., -, \div, \sin, +, \ldots, COMMA, (, =
1917, 0, junk, o, a, \pi, 1, ., C, 2, d
1918, junk, ., \ldots, n, 1, /, \prime, -, 0, |
1919, junk, \infty, ., \tan, \cos, 0, COMMA, a, 1, \pi
1920, junk, ., +, o, L, c, 0, 1, t, C
1921, m, junk, \sin, 1, +, \div, \tan, ., -, a
1922, -, junk, \ldots, ., \sqrt, =, u, COMMA, 0, \sin
1923, junk, ., n, H, r, -, (, 1, l, +
1924, junk, 3, x, \gt, COMMA, ., \times, -, a, 9
1925, junk, \infty, ., \pi, 0, a, c, \sin, 1, 2
1926, r, junk, ., F, f, 1, x, \sqrt, M, E
1927, junk, x, ., 2, a, \sin, \times, -, \gamma, \alpha
1928, junk, ., x, -, a, \times, m, o, 1, \sin
1929, x, junk, \times, X, \gamma, \neq, ., y, -, v
1930, junk, x, ., -, 1, \times, +, \mu, y, \gamma
1931, j, junk, i, ., -, k, 1, +, \prime, h
1932, \tan, junk, \sin, \cos, \ldots, ., a, 0, c, \infty
1933, junk, |, 1, COMMA, +, l, \prime, ), ., !
1934, junk, \cos, \tan, ., \sin, m, -, =, c, \ldots
1935, junk, ., +, \sin, -, o, 1, a, 0, \prime
1936, \log, junk, ., p, n, 1, \div, +, -, 0
1937, junk, +, ., 1, o, -, f, x, y, 2
1938, junk, ., 1, COMMA, 3, -, +, /, \times, \prime
1939, junk, \sin, \tan, ., a, m, \lim, \infty, 0, \pi
1940, junk, ., COMMA, (, \sin, c, +, L, x, 1
1941, junk, ., 0, o, t, COMMA, \ldots, -, 1, c
1942, junk, ., 0, x, V, COMMA, H, (, -, c
1943, junk, ., 1, d, o, +, T, t, n, 0
1944, junk, 0, ., H, c, \sum, M, z, 1, o
1945, junk, ., \alpha, 2, \mu, +, a, -, x, 3
1946, junk, z, ., r, c, 1, C, T, x, \pi
1947, junk, ., a, r, x, +, c, 0, 1, 2
1948, junk, N, ., v, n, 0, 1, o, i, \forall
1949, junk, a, x, \gamma, ., \times, c, r, 0, o
1950, junk, \div, \lim, 2, ., q, a, f, v, 3
1951, junk, 1, |, COMMA, l, \prime, +, (, ., \{
1952, junk, ., -, \prime, (, COMMA, 6, 0, 1, \lim
1953, junk, ., \prime, -, COMMA, n, 1, (, 4, a
1954, junk, ., COMMA, s, 0, (, 1, 5, g, \prime
1955, junk, u, \ldots, ., x, -, 4, COMMA, n, 1
1956, junk, ., 0, c, COMMA, o, 1, r, \prime, /
1957, junk, ., -, COMMA, \ldots, 0, m, (, \prime, c
1958, junk, \sin, ., \alpha, -, COMMA, a, x, 1, c
1959, -, junk, ., =, COMMA, r, i, T, t, \sqrt
1960, junk, ., -, \ldots, 0, \log, COMMA, n, \prime, t
1961, junk, ., -, \ldots, COMMA, 0, c, 6, o, L
1962, junk, ., -, +, 0, T, 7, \log, 2, L
1963, junk, ., COMMA, -, 1, /, 0, L, \prime, o
1964, junk, ., -, \rightarrow, \ldots, COMMA, m, +, 1, n
1965, -, junk, ., =, T, t, \ldots, COMMA, i, \div
1966, junk, |, 1, COMMA, ), \prime, +, ., l, /
1967, junk, -, ., =, COMMA, 2, \ldots, i, 1, a
1968, 1, junk, \prime, +, ., l, n, COMMA, /, r
1969, junk, ., \sin, +, -, 1, \lim, a, 0, \prime
1970, -, junk, ., =, T, t, \div, COMMA, i, m
1971, junk, 3, 1, ., \times, x, COMMA, 7, 0, -
1972, junk, ., -, +, \pi, \times, \prime, T, x, COMMA
1973, junk, ., o, n, 0, COMMA, r, 8, N, k
1974, junk, ., -, 1, 7, COMMA, k, i, t, f
1975, junk, 3, ., \prime, \sum, (, COMMA, 2, \pm, 1
1976, junk, \prime, ., 1, -, COMMA, /, +, \rightarrow, r
1977, junk, ., -, COMMA, o, ), \prime, 0, +, 1
1978, junk, ., \sigma, d, t, 1, l, +, -, f
1979, junk, 1, \{, |, \prime, COMMA, +, \}, ., l
1980, junk, \sin, ., c, +, -, COMMA, \tan, 0, 1
1981, junk, x, ., 1, +, a, \sin, \times, -, COMMA
1982, junk, n, ., 0, COMMA, -, s, r, m, \prime
1983, junk, ., +, ), \prime, \lambda, 0, a, 1, T
1984, n, A, junk, ., H, 1, a, h, l, \lambda
1985, junk, +, 1, t, ., \prime, /, COMMA, l, i
1986, junk, \times, ., \prime, 1, x, /, M, COMMA, l
1987, junk, \prime, ., -, 1, 0, f, +, COMMA, s
1988, junk, -, 1, T, ., +, a, \prime, 7, l
1989, -, junk, ., =, T, t, i, COMMA, \div, \ldots
1990, junk, ., 1, i, +, \prime, (, 0, /, |
1991, 4, junk, H, N, ., u, n, 1, +, y
1992, junk, ., a, \sum, 1, c, t, y, x, H
1993, -, junk, =, ., \ldots, COMMA, 2, m, i, T
1994, junk, COMMA, /, ., \div, 1, \prime, -, l, 2
1995, 2, junk, z, 3, 1, x, l, 6, c, .
1996, junk, 1, COMMA, ., l, L, (, r, |, 0
1997, junk, c, ., H, COMMA, a, \Delta, 1, l, C
1998, junk, 6, a, ., h, k, b, c, COMMA, 0
1999, junk, 1, \prime, ., +, COMMA, (, |, ), l
2000, 6, c, junk, C, x, s, S, 1, k, .
2001, junk, p, ., 1, f, +, d, y, Y, 7
2002, junk, -, ., \div, =, \geq, m, \pm, 1, i
2003, c, C, junk, ., 0, \sum, E, 5, 3, 6
2004, junk, +, \log, ., \rightarrow, COMMA, \prime, T, -, 1
2005, junk, ., COMMA, -, \prime, 1, /, (, V, 0
2006, junk, ., x, +, 1, 2, (, \lim, n, r
2007, junk, ., 4, 1, COMMA, 5, \div, l, +, q
2008, junk, ., 0, \tan, a, c, 1, e, 2, \prime
2009, junk, d, v, u, ., p, t, 0, /, COMMA
2010, H, junk, ., r, x, (, Y, COMMA, \gamma, \pi
2011, junk, \geq, 1, ., \sum, COMMA, \pi, 3, I, =
2012, junk, \prime, ., l, n, +, 1, \neq, a, r
2013, junk, ., -, l, 1, 0, \div, COMMA, +, \prime
2014, junk, ., k, COMMA, c, \prime, (, 1, +, r
2015, junk, 3, ., COMMA, 1, -, 5, 2, u, l
2016, 7, 1, junk, \prime, q, l, f, +, T, 9
2017, junk, ., COMMA, -, 0, 6, (, /, \prime, 1
2018, junk, ., COMMA, 0, c, s, 1, -, C, o
2019, junk, 0, ., c, o, e, n, C, 6, =
2020, junk, ., COMMA, -, \prime, (, 0, /, C, +
2021, -, junk, ., =, T, t, \ldots, COMMA, \sigma, \div
2022, junk, ., n, +, \prime, 1, r, -, COMMA, 0
2023, junk, ., a, d, o, t, +, \alpha, n, l
2024, junk, a, 1, k, ., t, \mu, n, 4, 0
2025, junk, ., \lt, 0, =, \sin, c, -, 2, C
2026, junk, d, a, \alpha, ., +, t, 1, \tan, o
2027, junk, ., 9, x, +, 2, a, 0, \prime, 7
2028, junk, x, \gamma, a, ., \times, +, -, q, 2
2029, junk, H, \pi, k, 1, Y, \gamma, x, ., \alpha
2030, -, junk, =, ., \ldots, T, COMMA, 2, m, \div
2031, junk, ., s, f, 0, COMMA, t, n, l, 1
2032, junk, ., +, =, \lt, o, d, a, -, x
2033, 1, junk, n, r, ., x, -, +, l, m
2034, junk, 1, ., \neq, +, d, x, -, /, A
2035, junk, ., \prime, 0, \sin, \sqrt, -, a, COMMA, /
2036, junk, ., -, \tan, c, +, (, r, \alpha, \pi
2037, junk, ., 0, C, s, 1, (, I, r, L
2038, junk, 1, +, ., d, \geq, -, x, \rightarrow, 2
2039, d, junk, a, 2, o, ., \phi, 0, 1, \alpha
2040, junk, (, ., \sum, l, s, G, C, ), z
2041, m, junk, \lim, \sin, n, H, 0, ., \tan, w
2042, -, junk, =, ., T, \ldots, COMMA, i, 2, m
2043, \int, junk, 3, 1, \}, COMMA, x, \prime, X, \gamma
2044, junk, ., -, =, (, 0, COMMA, \div, 1, 7
2045, junk, M, ., n, 2, a, m, c, 0, -
2046, junk, COMMA, ., M, n, -, \tan, 1, \prime, \mu
2047, junk, ., \sqrt, c, a, x, 0, e, =, -
2048, junk, x, a, n, u, ., H, N, o, \gamma
2049, junk, ., =, -, C, COMMA, c, \infty, \sigma, a
2050, n, junk, -, m, ., \gamma, COMMA, 0, /, N
2051, junk, n, \Delta, a, ., A, x, t, r, \lambda
2052, junk, x, ., -, COMMA, \times, \beta, X, \sqrt, T
2053, junk, x, 9, \exists, s, ., 2, a, S, 0
2054, junk, ., \sin, c, x, m, COMMA, C, 1, -
2055, junk, n, a, ., x, 2, v, 0, \theta, o
2056, junk, \sin, ., +, 0, -, COMMA, 1, \prime, )
2057, 1, junk, \}, ., 2, i, -, ], COMMA, 3
2058, junk, ., COMMA, -, \sqrt, 0, o, L, c, /
2059, -, junk, \ldots, ., =, 2, m, COMMA, \div, i
2060, junk, ., -, \sqrt, n, \sin, r, \mu, +, (
2061, junk, a, ., 0, c, -, 1, o, 4, x
2062, junk, c, a, ., \lambda, x, \Delta, o, -, COMMA
2063, \tan, junk, ., a, \sin, c, 0, 2, \ldots, (
2064, junk, ., 0, a, c, C, L, 3, \tan, 1
2065, n, junk, E, ., 1, H, B, (, R, M
2066, junk, ., a, -, COMMA, c, 0, (, 1, \prime
2067, junk, 1, |, COMMA, +, \prime, l, /, 4, .
2068, junk, ., \sin, x, 3, =, a, l, +, (
2069, junk, \neq, \gamma, ., t, \sin, \mu, Y, f, -
2070, junk, 0, a, ., 2, 8, 3, o, m, v
2071, -, junk, ., =, 0, \div, C, \ldots, COMMA, u
2072, N, 0, n, o, junk, v, b, u, ., i
2073, -, junk, =, ., \ldots, T, COMMA, 2, i, m
2074, -, junk, =, ., \ldots, T, COMMA, 2, i, m
2075, v, n, p, junk, \mu, u, o, \theta, ., r
2076, junk, x, p, v, r, X, ., a, n, 2
2077, n, v, m, u, junk, p, x, 0, o, \mu
2078, 0, junk, n, o, 2, -, v, e, ., p
2079, junk, ., 0, o, H, 1, c, t, V, \ldots
2080, junk, a, ., \infty, 2, c, -, 1, G, \pi
2081, junk, t, k, a, 3, 2, ., 8, -, i
2082, -, junk, =, \ldots, ., 2, COMMA, m, T, i
2083, junk, ., COMMA, c, a, C, \tan, \leq, +, 1
2084, -, junk, =, ., \ldots, COMMA, T, \div, 2, u
2085, junk, ., COMMA, /, (, +, V, -, \gamma, 1
2086, junk, ., +, a, 0, \neq, \leq, v, 1, c
2087, junk, \cos, ., \rightarrow, a, \pi, 0, \tan, \sin, +
2088, junk, r, +, 1, d, /, u, \pi, \mu, .
2089, junk, n, ., r, a, V, 0, \alpha, 9, \gamma
2090, junk, x, +, ., a, =, \times, i, \tan, -
2091, junk, ., COMMA, -, \prime, L, 0, (, /, 1
2092, junk, ., 0, o, -, \sqrt, COMMA, \ldots, 1, \prime
2093, n, m, \mu, junk, p, u, x, o, a, e
2094, junk, ., \tan, 0, +, COMMA, \sin, 1, a, \rightarrow
2095, junk, -, ., =, m, T, \infty, \ldots, \tan, COMMA
2096, junk, ., \tan, -, T, +, =, a, 1, \mu
2097, junk, ., -, \sqrt, T, \prime, 0, \tan, COMMA, 1
2098, junk, 1, |, COMMA, (, l, +, \prime, d, /
2099, junk, COMMA, /, 1, \div, ., \prime, l, 2, -
2100, junk, 0, n, 2, 7, ., COMMA, L, -, 1
2101, junk, 1, |, COMMA, \prime, ), +, l, ., !
2102, junk, F, 7, l, 1, I, -, \prime, COMMA, \div
2103, junk, \prime, 1, ., +, COMMA, ), |, (, l
2104, junk, \pi, 1, ., r, \prime, N, M, a, )
2105, junk, |, 1, COMMA, +, l, \prime, ), ., !
2106, junk, 9, \div, q, n, \pi, ., p, a, -
2107, junk, ., \mu, r, x, R, F, a, !, -
2108, junk, ., 1, 2, -, L, +, z, \forall, a
2109, junk, a, c, ., 0, 6, G, 1, C, u
2110, \theta, junk, a, 2, 0, E, \Delta, t, \sigma, .
2111, junk, ., \tan, \lim, x, \prime, \log, 2, 1, -
2112, -, junk, =, ., \ldots, T, COMMA, 2, i, m
2113, junk, ., -, \ldots, 0, COMMA, (, \prime, C, /
2114, junk, 3, T, ., \gt, 5, 9, j, -, COMMA
2115, L, junk, I, 1, ., +, i, (, x, l
2116, junk, \sum, I, [, E, v, ., 0, t, i
2117, junk, ., -, s, COMMA, m, \in, 1, c, e
2118, t, f, G, junk, 6, k, c, i, E, C
2119, -, junk, =, ., T, \ldots, COMMA, i, 2, \div
2120, junk, ., COMMA, -, /, 0, \sqrt, 1, o, r
2121, junk, \div, +, ., T, \pi, -, n, 4, \infty
2122, junk, ., \ldots, -, C, COMMA, c, 0, (, =
2123, -, junk, ., =, \div, 2, COMMA, \ldots, T, C
2124, junk, 1, ., 0, \geq, -, /, I, +, G
2125, junk, z, y, -, ., x, \beta, \neq, \gamma, t
2126, -, junk, =, ., T, \ldots, COMMA, 2, i, \div
2127, +, junk, d, 1, l, a, ., t, 7, -
2128, junk, ., COMMA, -, 0, L, (, C, =, c
2129, junk, 1, |, COMMA, ), \prime, l, +, ., !
2130, 3, junk, x, \lambda, 5, y, COMMA, 2, z, n
2131, junk, m, ., n, a, 1, x, H, 0, r
2132, junk, n, ., k, a, \beta, x, c, t, r
2133, junk, 1, |, COMMA, \prime, ), +, l, ., !
2134, junk, f, n, H, ., 1, \sum, p, E, \beta
2135, x, junk, a, r, k, \pi, ., X, m, \times
2136, junk, \ldots, ., L, -, o, \sqrt, 0, COMMA, m
2137, 3, junk, 5, n, \lambda, x, 9, COMMA, z, 2
2138, junk, p, P, \pi, n, 3, H, 2, 1, l
2139, junk, ., n, -, a, m, 0, p, 2, \div
2140, junk, \ldots, COMMA, ., c, C, -, L, (, 0
2141, junk, \alpha, 2, n, ., o, -, a, =, r
2142, =, junk, ., 5, -, 2, t, c, \lt, \sum
2143, junk, ., +, -, 0, 1, e, \prime, s, T
2144, junk, \sqrt, -, ., o, 0, 1, COMMA, /, e
2145, junk, -, ., \sqrt, o, COMMA, 0, 1, /, T
2146, -, junk, =, ., \ldots, T, COMMA, 2, i, m
2147, junk, ., o, +, -, n, 1, 0, /, \sqrt
2148, junk, l, ., 2, E, 6, a, 1, 0, \in
2149, junk, ., -, n, 6, l, e, /, 0, (
2150, junk, ., +, \sqrt, o, \rightarrow, n, T, 1, -
2151, -, junk, =, ., \ldots, T, COMMA, 2, m, i
2152, junk, ., -, 2, b, 1, +, 3, 7, a
2153, junk, a, ., \lim, x, c, 0, +, u, s
2154, -, junk, =, ., T, \ldots, COMMA, 2, i, \div
2155, junk, ., M, 0, \infty, \lim, 1, COMMA, +, /
2156, junk, 0, ., c, 2, 1, e, a, L, C
2157, junk, +, 1, 4, ., -, \rightarrow, \prime, n, 7
2158, junk, \rightarrow, 3, -, y, COMMA, ., z, 1, \times
2159, junk, ., 1, \lim, 6, COMMA, 0, \prime, b, n
2160, junk, l, ., 1, z, \tan, +, \prime, n, a
2161, junk, 0, ., -, c, COMMA, o, (, n, 3
2162, junk, ., +, y, h, (, \alpha, x, a, l
2163, junk, ., \sqrt, COMMA, 0, L, o, -, V, /
2164, junk, ., \alpha, +, n, \prime, \pi, x, ), \log
2165, junk, ., -, n, o, i, r, 0, c, +
2166, -, junk, =, ., T, \ldots, i, COMMA, \div, 2
2167, junk, \sin, ., h, \mu, x, l, 0, a, 1
